1	35	0	0	-2.54E-02	1.27E+02	1.27E+02	1.36E-01	1.28E-03	1.42E-03	1.35E-03	-9.65E-03	-1.39E-01	1.45E-01
1	36	0	0	-2.53E-02	1.27E+02	1.27E+02	1.36E-01	1.05E-03	1.47E-03	1.44E-03	-9.97E-03	-1.44E-01	1.44E-01
1	37	0	0	-2.51E-02	1.27E+02	1.27E+02	1.35E-01	8.17E-04	1.51E-03	1.54E-03	-1.03E-02	-1.49E-01	1.44E-01
1	38	0	0	-2.50E-02	1.28E+02	1.28E+02	1.35E-01	5.89E-04	1.56E-03	1.64E-03	-1.06E-02	-1.53E-01	1.44E-01
1	39	0	0	-2.49E-02	1.28E+02	1.28E+02	1.34E-01	3.63E-04	1.60E-03	1.74E-03	-1.09E-02	-1.58E-01	1.44E-01
1	40	0	0	-2.48E-02	1.28E+02	1.28E+02	1.34E-01	1.39E-04	1.64E-03	1.85E-03	-1.12E-02	-1.63E-01	1.43E-01
1	41	0	0	-2.47E-02	1.28E+02	1.28E+02	1.34E-01	-8.26E-05	1.69E-03	1.96E-03	-1.15E-02	-1.68E-01	1.43E-01
1	42	0	0	-2.46E-02	1.29E+02	1.29E+02	1.33E-01	-3.02E-04	1.73E-03	2.07E-03	-1.18E-02	-1.73E-01	1.43E-01
1	43	0	0	-2.45E-02	1.29E+02	1.29E+02	1.33E-01	-5.19E-04	1.77E-03	2.18E-03	-1.21E-02	-1.78E-01	1.43E-01
1	44	0	0	-2.44E-02	1.29E+02	1.29E+02	1.32E-01	-7.34E-04	1.82E-03	2.30E-03	-1.24E-02	-1.83E-01	1.42E-01
1	45	0	0	-2.43E-02	1.29E+02	1.29E+02	1.32E-01	-9.47E-04	1.86E-03	2.42E-03	-1.27E-02	-1.87E-01	1.42E-01
1	46	0	0	-2.42E-02	1.30E+02	1.30E+02	1.32E-01	-1.16E-03	1.90E-03	2.54E-03	-1.30E-02	-1.92E-01	1.42E-01
1	47	0	0	-2.41E-02	1.30E+02	1.30E+02	1.31E-01	-1.37E-03	1.94E-03	2.66E-03	-1.33E-02	-1.97E-01	1.42E-01
